id,japones,hiragana,romaji,traduccion
72,広い,ひろい,hiroi,ancho
73,数,かず,suu,número
74,近い,ちかい,chikai,cerca
75,そこ,そこ,soko,Ahí
76,走る,はしる,hashiru,correr
77,入れる,いれる,ireru,meter en
78,教える,おしえる,oshieru,enseñar
79,歩く,あるく,aruku,caminar
80,会う,あう,au,encontrarse
81,書く,かく,kaku,escribir
82,頭,あたま,atama,cabeza
83,売る,うる,uru,vender
84,大好き,だいすき,daisuki,realmente me gusta
85,体,からだ,karada,cuerpo
86,直ぐ,すぐ,sugu,inmediatamente
87,飛ぶ,とぶ,tobu,saltar
88,とても,とても,totemo,muy
89,誰,だれ,dare,quién
90,好き,すき,suki,gustar / gusto
91,読む,よむ,yomu,leer
92,次,つぎ,tsugi,Próximo
93,あなた,あなた,anata,tú
94,飲む,のむ,nomu,beber
95,古い,ふるい,furui,viejo
96,質問,しつもん,shitsumon,pregunta
97,今日,きょう,kyou,hoy
98,友達,ともだち,tomodachi,amigo
99,早い,はやい,hayai,temprano
100,どれ,どれ,dore,¿Cuál?
101,美しい,うつくしい,utsukushii,hermoso
102,いつも,いつも,itsumo,Siempre
103,足,あし,ashi,pies
104,起こす,おこす,okosu,Despertar
105,見せる,みせる,miseru,mostrar / enseñar
106,娘,むすめ,musume,hija
107,楽しむ,たのしむ,tanoshimu,disfrutar
108,色,いろ,iro,color
109,みんな,みんな,minna,todos
110,取る,とる,toru,tomar / coger / sacar
111,勉強,べんきょう,benkyou,estudiar
112,できる,できる,dekiru,poder
113,短い,みじかい,mijikai,corto
114,落ちる,おちる,ochiru,caer
115,息子,むすこ,musuko,hijo
116,白い,しろい,shiroi,blanco
117,飛行機,ひこうき,hikouki,avión
118,病気,びょうき,byouki,enfermedad
119,冬,ふゆ,fuyu,invierno
120,年,とし / ねん,toshi,año
121,重い,おもい,omoi,pesado
122,胸,むね,mune,pecho
123,払う,はらう,harau,pagar
124,軽い,かるい,karui,ligero
125,見つける,みつける,mitsukeru,encontrar
126,忘れる,わすれる,wasureru,olvidar
127,酒,さけ,sake,Alcohol
128,どちら,どちら,dochira,cuál / qué lado / dónde
129,姉,あね,ane,hermana
130,覚える,おぼえる,oboeru,aprender de memoria
131,狭い,せまい,semai,angosto
132,赤い,あかい,akai,rojo
133,着る,きる,kiru,tener puesto
134,笑う,わらう,warau,reír
135,一番,いちばん,ichiban,número uno
136,授業,じゅぎょう,jugyou,clase
137,週,しゅう,shuu,semana
138,漢字,かんじ,kanji,kanji
139,自転車,じてんしゃ,jitensha,bicicleta
140,電車,でんしゃ,densha,tren
141,探す,さがす,sagasu,buscar
142,紙,かみ,kami,papel
143,歌う,うたう,utau,cantar
144,遅い,おそい,osoi,lento
145,首,くび,kubi,cuello
146,速い,はやい,hayai,rápido
147,一緒に,いっしょに,issho ni,juntos
148,今月,こんげつ,kongetsu,este mes
149,遊ぶ,あそぶ,asobu,jugar
150,遠い,とおい,tooi,lejos
151,弱い,よわい,yowai,débil
152,耳,みみ,mimi,oreja
153,座る,すわる,suwaru,sentarse
154,右,みぎ,migi,derecha
155,浴びる,あびる,abiru,Bañarse
156,肩,かた,kata,hombro
157,寝る,ねる,neru,dormir
158,消す,けす,kesu,borrar
159,元気,げんき,genki,bien
160,全部,ぜんぶ,zenbu,todo
161,去年,きょねん,kyonen,el año pasado
162,引く,ひく,hiku,Jalar
163,図書館,としょかん,toshokan,biblioteca
164,上げる,あげる,ageru,aumentar
165,緑,みどり,midori,verde
166,腕,うで,ude,brazo
167,ドア,どあ,doa,Puerta
168,女の子,おんなのこ,onna no ko,chica
169,男の子,おとこのこ,otoko no ko,chico
170,私たち,わたしたち,watashitachi,Nosotros
171,近く,ちかく,chikaku,cerca
172,やる,やる,yaru,hacer
173,かなり,かなり,kanari,bastante
174,国,くに,kuni,país
175,起こる,おこる,okoru,suceder
176,秋,あき,aki,otoño
177,送る,おくる,okuru,enviar
178,死ぬ,しぬ,shinu,morir
179,気持ち,きもち,kimochi,sentimiento
180,乗る,のる,noru,subirse
181,いる,いる,iru,estar / haber (seres animados)
182,木,き,ki,Árbol
183,開ける,あける,akeru,abrir
184,閉める,しめる,shimeru,cerrar
185,続く,つづく,tsuzuku,continuar / seguir
186,お医者さん,おいしゃさん,oishasan,doctor
187,円,えん,en,yen / círculo
188,ここ,ここ,koko,aquí
189,待つ,まつ,matsu,esperar
190,低い,ひくい,hikui,bajo
191,もらう,もらう,morau,recibir
192,食べる,たべる,taberu,comer
193,兄,あに,ani,hermano mayor
194,名前,なまえ,namae,nombre
195,夫,おっと,otto,marido
196,一,いち,ichi,uno
197,結婚,けっこん,kekkon,matrimonio
198,親,おや,oya,padres / progenitor
199,話す,はなす,hanasu,hablar
200,少し,すこし,sukoshi,un poco
201,閉じる,とじる,tojiru,cerrar
202,時,とき,toki,tiempo
203,米,こめ,kome,Arroz
204,切る,きる,kiru,Cortar
205,楽しい,たのしい,tanoshii,divertido
206,服,ふく,fuku,ropa
207,後ろ,うしろ,ushiro,detrás
208,嬉しい,うれしい,ureshii,feliz
209,腰,こし,koshi,Cintura
210,日曜日,にちようび,nichiyoubi,Domingo
211,昼,ひる,hiru,Mediodía / Tarde
212,お母さん,おかあさん,okaasan,madre
213,大学生,だいがくせい,daigakusei,estudiante universitario
214,終わり,おわり,owari,fin
215,背,せ,se,espalda / estatura
216,手伝う,てつだう,tetsudau,ayudar
217,鼻,はな,hana,nariz
219,載せる,のせる,noseru,poner / subir / montar
220,悲しい,かなしい,kanashii,triste
221,しゃべる,しゃべる,shaberu,Hablar
223,甘い,あまい,amai,dulce
224,テーブル,てーぶる,te-buru,mesa
225,食べ物,たべもの,tabemono,alimento
226,始まる,はじまる,hajimaru,Comenzar
227,ゲーム,げーむ,ge-mu,juego
228,十,とお,juu,Diez
229,天気,てんき,tenki,clima
230,暑い,あつい,atsui,caliente
231,太い,ふとい,futoi,grueso
232,晩,ばん,ban,noche
233,土曜日,どようび,doyoubi,Sábado
234,痛い,いたい,itai,duele
235,お父さん,おとうさん,otousan,padre
236,多分,たぶん,tabun,tal vez
237,時計,とけい,tokei,reloj
238,泊まる,とまる,tomaru,alojarse / pernoctar
239,どうして,どうして,doushite,Por qué
240,掛ける,かける,kakeru,Colgar
241,曲がる,まがる,magaru,girar / doblar
242,お腹,おなか,onaka,estómago
243,ミーティング,みーてぃんぐ,mi-tingu,Reunión
244,嫌い,きらい,kirai,odiar / no gustar
245,金曜日,きんようび,kinyoubi,Viernes
246,要る,いる,iru,necesitar
247,無い,ない,nai,No hay
248,風邪,かぜ,kaze,resfriado
249,黄色い,きいろい,kiiroi,amarillo
250,優しい,やさしい,yasashii,amable
251,晴れる,はれる,hareru,Está soleado
252,汚い,きたない,kitanai,sucio
253,茶色,ちゃいろ,chairo,marrón
254,空く,すく,suku,vaciarse / quedar libre
255,上る,のぼる,noboru,trepar
256,ご飯,ごはん,gohan,arroz cocido
257,日,ひ / にち / か,nichi,día
258,髪の毛,かみのけ,kaminoke,cabello
259,つける,つける,tsukeru,encender / poner / adjuntar
260,月曜日,げつようび,getsuyoubi,Lunes
261,入る,はいる,hairu,ingresar
262,カタカナ,かたかな,katakana,katakana
263,今週,こんしゅう,konshuu,esta semana
264,開く,あく,hiraku,abrirse / abrir
265,水,みず,mizu,agua
266,あれ,あれ,are,Aquello
267,二,に,ni,dos
268,締める,しめる,shimeru,apretar / atar / cerrar bien
269,まずい,まずい,mazui,De mal sabor / Desagradable
270,平仮名,ひらがな,hiragana,hiragana
271,曇る,くもる,kumoru,Está nublado
272,触る,さわる,sawaru,tocar
273,駄目,だめ,dame,no valer / no se puede
274,飲み物,のみもの,nomimono,bebida
275,木曜日,もくようび,mokuyoubi,Jueves
276,曜日,ようび,youbi,día de la semana
277,そば,そば,soba,soba / trigo sarraceno
278,こっち,こっち,kocchi,Éste
279,火曜日,かようび,kayoubi,Martes
280,渇く,かわく,kawaku,tener sed / secarse
281,三,さん,san,tres
282,水曜日,すいようび,suiyoubi,Miércoles
283,二つ,ふたつ,futatsu,dos
284,今晩,こんばん,konban,esta noche
285,千,せん,sen,mil
286,六日,むいか,muika,Seis días
287,お姉さん,おねえさん,onesan,hermana mayor
288,直る,なおる,naoru,arreglarse / curarse
289,ちょっと,ちょっと,chotto,un poco
290,四,よん / し,yon,cuatro
291,これから,これから,korekara,A partir de ahora / En adelante
292,考える,かんがえる,kangaeru,pensar
293,戻る,もどる,modoru,devolver
294,変える,かえる,kaeru,cambiar
295,朝,あさ,asa,mañana
296,歯,は,ha,dientes
297,頑張る,がんばる,ganbaru,esforzarse
298,携帯電話,けいたいでんわ,keitaidenwa,teléfono móvil
299,雨,あめ,ame,lluvia
300,金,かね,kane,dinero / oro
301,易しい,やさしい,yasashii,fácil / sencillo
302,お兄さん,おにいさん,oniisan,Hermano
303,大きい,おおきい,ooki,grande
304,小さい,ちいさい,chiisai,pequeño
305,辛い,からい,karai,picante
306,八,はち,hachi,Ocho
307,あそこ,あそこ,asoko,Allí
308,来る,くる,kuru,venir
309,前,まえ,mae,antes
310,五日,いつか,itsuka,Cinco días
311,いっぱい,いっぱい,ippai,lleno
312,酸っぱい,すっぱい,suppai,agrio
313,違う,ちがう,chigau,diferente
314,細い,ほそい,hosoi,delgado
315,三つ,みっつ,mittsu,tres
316,八日,ようか,youka,Ocho días
317,高校生,こうこうせい,koukousei,estudiante de secundaria
318,上手,じょうず,jouzu,hábil / bueno en
319,強い,つよい,tsuyoi,fuerte
320,七,なな / しち,nana,Siete
321,二十日,はつか,hatsuka,día 20 / veinte días
322,左,ひだり,hidari,izquierda
323,二日,ふつか,futsuka,Dos días
324,四つ,よっつ,yottsu,cuatro
325,暖かい,あたたかい,atatakai,cálido
326,ある,ある,aru,Estar
327,いい,いい,ii,bien
328,上,うえ,ue,arriba
329,駅,えき,eki,estación
330,美味しい,おいしい,oishii,delicioso
331,昨日,きのう,kinou,ayer
332,綺麗,きれい,kirei,hermoso
333,五,ご,go,Cinco
334,九つ,ここのつ,kokonotsu,nueve
335,お願い,おねがい,onegai,por favor
336,答える,こたえる,kotaeru,responder
337,先,さき,saki,Primero
338,寒い,さむい,samui,frío
339,四,よん / し,shi,cuatro
340,三日,みっか,mikka,Tres días
341,下,した,shita,bajo
342,大丈夫,だいじょうぶ,daijoubu,estar bien / no pasa nada
343,大人,おとな,otona,adulto
344,出す,だす,dasu,sacar / enviar
345,父,ちち,chichi,padre
346,母,はは,haha,madre
347,月,つき,tsuki,mes
348,妹,いもうと,imouto,hermana menor
349,冷たい,つめたい,tsumetai,frío
350,弟,おとうと,otouto,hermano menor
351,手,て,te,mano
352,十日,とおか,tooka,Diez días
353,口,みどりのまどぐち,kuchi,boca
354,夏,なつ,natsu,verano
355,七つ,ななつ,nanatsu,Siete
356,時々,ときどき,tokidoki,a veces
357,何,なに / なん,nani,qué
358,人,ひと,hito,gente
359,一人,ひとり,hitori,Una persona
360,一日,ついたち,tsuitachi,día 1 / primero de mes
361,九日,ここのか,kokonoka,Noveno
362,方,ほう,hou,dirección
363,他,ほか,hoka,Otros
364,僕,ぼく,boku,yo (masculino)
365,欲しい,ほしい,hoshii,querer
366,万,まん,man,Diez mil
367,見える,みえる,mieru,verse / ser visible
368,道,みち,michi,camino
369,五つ,いつつ,itsutsu,Cinco
370,目,め,me,ojo
371,八つ,やっつ,yattsu,ocho
372,止める,とめる,tomeru,detener
373,四日,よっか,yokka,Cuatro días
374,夜,よる,yoru,noche
375,来年,らいねん,rainen,al año que viene
376,六,ろく,roku,Seis
377,悪い,わるい,warui,malo
378,お手洗い,おてあらい,otearai,baño / lavabo
379,ご主人,ごしゅじん,goshujin,marido / amo / propietario
380,本当に,ほんとうに,hontouni,En realidad
381,自分,じぶん,jibun,mí mismo
382,ため,ため,tame,Para
383,見つかる,みつかる,mitsukaru,ser encontrado / encontrarse
384,休む,やすむ,yasumu,descansar
385,ゆっくり,ゆっくり,yukkuri,Despacio / Lentamente / Tranquilamente
386,六つ,むっつ,muttsu,seis
387,花,はな,hana,flor
388,動く,うごく,ugoku,Mover
389,線,せん,sen,línea
390,七日,なのか,nanoka,Siete días
391,以外,いがい,igai,otro que
392,男,おとこ,otoko,hombre
393,彼,かれ,kare,Él / Novio
394,女,おんな,onna,mujer
395,妻,つま,tsuma,esposa
396,百,ひゃく,hyaku,centenar
397,辺,あたり,atari,alrededor / zona
398,店,みせ,mise,comercio
399,閉まる,しまる,shimaru,Cerrado
400,問題,もんだい,mondai,problema
401,必要,ひつよう,hitsuyou,necesidad
402,もつ,もつ,motsu,tener
404,昨年,さくねん,sakunen,el año pasado
405,治る,なおる,naoru,curarse / arreglarse
406,ドル,どる,doru,Dólar
407,システム,しすてむ,shisutemu,sistema
408,以上,いじょう,ijou,más de / desde / eso es todo
409,最近,さいきん,saikin,recientemente
410,世界,せかい,sekai,mundo
411,コンピューター,こんぴゅーたー,konpyu-ta-,computadora
413,意味,いみ,imi,significado
414,増える,ふえる,fueru,aumentar
415,選ぶ,えらぶ,erabu,elegir
416,生活,せいかつ,seikatsu,vida
417,進める,すすめる,susumeru,avanzar / promover
418,続ける,つづける,tsuzukeru,continuar
419,ほとんど,ほとんど,hotondo,casi
420,会社,かいしゃ,kaisha,compañía
422,多く,っおく,ooku,Muchos
423,話,はなし,hanashi,historia
424,上がる,あがる,agaru,Subir
426,集める,あつめる,atsumeru,recolectar
427,声,こえ,koe,voz
428,初めて,はじめて,hajimete,por primera vez
429,変わる,かわる,kawaru,cambiar
430,まず,まず,mazu,Primero / Antes que nada
431,社会,しゃかい,shakai,sociedad
432,プログラム,ぷろぐらむ,puroguramu,programa
433,力,ちから,chikara,fuerza
434,今回,こんかい,konkai,esta vez
435,予定,よてい,yotei,plan / horario / previsión
436,まま,まま,mama,Permanecer
437,テレビ,てれび,terebi,Televisión
438,減る,へる,heru,disminuir
439,消える,きえる,kieru,desaparecer
440,家族,かぞく,kazoku,familia
441,比べる,くらべる,kuraberu,comparar
442,生まれる,うまれる,umareru,nacer
443,ただ,ただ,tada,justo
444,これら,これら,korera,estos
445,調べる,しらべる,shiraberu,investigar
446,事故,じこ,jiko,accidente
447,電話,でんわ,denwa,teléfono
448,外国,がいこく,gaikoku,país extranjero
449,銀行,ぎんこう,ginkou,banco
450,十分,じゅうぶん,juubun,suficiente
451,あまり,~ない,amari,no mucho / no muy
452,写真,しゃしん,shashin,fotografía
453,繰り返す,くりかえす,kurikaesu,repetir
454,種類,しゅるい,shurui,tipo
455,意見,いけん,iken,opinión
456,新聞,しんぶん,shinbun,periódico
457,文章,ぶんしょう,bunshou,Texto
458,目立つ,めだつ,medatsu,destacar
459,相手,あいて,aite,compañero / rival / la otra parte
460,病院,びょういん,byouin,hospital
461,厚い,あつい,atsui,grueso
462,忙しい,いそがしい,isogashii,ocupado
463,薄い,うすい,usui,delgado
464,川,かわ,kawa,río
465,暗い,くらい,kurai,oscuro
466,クラス,くらす,kurasu,clase
467,黒い,くろい,kuroi,negro
468,バス,ばす,basu,Autobús
469,青い,あおい,aoi,azul
470,買い物,かいもの,kaimono,compras
471,薬,くすり,kusuri,medicamento
472,砂糖,さとう,satou,azúcar
473,休み,やすみ,yasumi,descanso / día libre
474,郵便局,ゆうびんきょく,yuubinkyoku,oficina de correos
475,住所,じゅうしょ,juusho,DIRECCIÓN
476,こちら,こちら,kochira,esta dirección / aquí
477,財布,さいふ,saifu,billetera
478,パスポート,ぱすぽーと,pasupo-to,pasaporte
479,椅子,いす,isu,silla
480,可愛い,かわいい,kawaii,lindo
481,お祖父さん,おじいさん,ojiisan,abuelo
482,切手,きって,kitte,estampilla
483,涼しい,すずしい,suzushii,fresco
484,いくつ,いくつ,ikutsu,cuántos
485,メニュー,めにゅー,menyu-,menú
486,電気,でんき,denki,electricidad
487,勝つ,かつ,katsu,ganar
488,負ける,まける,makeru,perder
489,建てる,たてる,tateru,construir
490,日記,にっき,nikki,diario
491,売り切れ,うりきれ,urikire,agotado / vendido
492,お巡りさん,おまわりさん,omawarisan,policía
493,目覚まし時計,めざましとけい,mezamashitokei,Despertador
494,レシート,れしーと,reshi-to,recibo
495,ティッシュ,てぃっしゅ,tisshu,pañuelo de papel / tissue
496,歯ブラシ,はぶらし,haburashi,cepillo de dientes
497,下りる,おりる,oriru,Bajar
498,洗う,あらう,arau,lavar
499,パート,ぱーと,pa-to,trabajo a tiempo parcial / parte
500,氏名,しめい,shimei,nombre completo
501,今夜,こにゃ,konya,esta noche
502,夜中,よなか,yonaka,En medio de la noche
503,来週,らいしゅう,raishuu,la próxima semana
504,誰か,だれか,dareka,alguien
505,何,なに,nani,qué
506,今朝,けさ,kesa,esta mañana
507,寿司,すし,sushi,sushi
508,履く,はく,haku,tener puesto
509,おじさん,おじさん,ojisan,Tío
510,おばさん,おばさん,obasan,Tía
511,お祖母さん,おばあさん,obaasan,abuela
512,いとこ,いとこ,itoko,Primo / a
513,辞書,じしょ,jisho,diccionario
514,朝ご飯,あさごはん,asagohan,Desayuno
515,白,しろ,shiro,blanco
516,どっち,どっち,docchi,Cuál
517,そっち,そっち,socchi,por ahí / ese lado
518,明日,あした / あす,ashita,mañana
519,明後日,あさって / みょうごにち,asatte / myougonichi,pasado mañana
520,一昨日,おととい,ototoi,anteayer
521,庭,にわ,niwa,Jardín
522,左側,ひだりがわ,hidarigawa,izquierda
523,右側,みぎがわ,migigawa,Lado derecho
524,指,ゆび,yubi,dedo
525,眼鏡,めがね,megane,anteojos
526,鞄,かばん,kaban,bolsa
527,あっち,あっち,acchi,por allí / aquel lado
528,大人しい,おとなしい,otonashii,tranquilo
529,下手,へた,heta,pobre
530,厳しい,きびしい,kibishii,estricto
531,一人で,ひとりで,hitoride,Solo
532,答え,こたえ,kotae,respuesta
533,この頃,このごろ,konogoro,Alrededor de este tiempo
534,残念,ざんねん,zannen,decepcionante
535,仕舞う,しまう,shimau,guardar / terminar
536,心配,しんぱい,shinpai,ansiedad
537,外,そと,soto,Afuera
538,大切,たいせつ,taisetsu,importante
539,ちょうど,ちょうど,choudo,justo
540,助ける,たすける,tasukeru,ayudar / salvar
541,勤める,つとめる,tsutomeru,trabajar / estar empleado
542,連れていく,つれていく,tsureteiku,Te llevaré
543,丈夫,じょうぶ,joubu,fuerte / sano / resistente
544,賑やか,にぎやか,nigiyaka,animado / bullicioso
545,眠い,ねむい,nemui,somnoliento
546,山,やま,yama,montaña
547,橋,はし,hashi,puente
548,止まる,とまる,tomaru,parar / detenerse
549,降る,ふる,furu,caer (lluvia / nieve)
550,本当,ほんとう,hontou,verdad / real
551,町,まち,machi,ciudad
552,お菓子,おかし,okashi,dulces
553,緩い,ゆるい,yurui,flojo / suelto
554,良い,よい,yoi,bien
555,ようこそ,ようこそ,youkoso,bienvenido
556,お土産,おみやげ,omiyage,recuerdo
557,両親,りょうしん,ryoushin,padres
558,ウェーター,うぇーたー,we-ta-,mesero
559,ウェートレス,うぇーとれす,we-toresu,Camarera
560,絶対に,ぜったいに,zettaini,absolutamente
561,ごちそう,ごちそう,gochisou,Banquete
562,フォーク,ふぉーく,fo-ku,tenedor
563,スプーン,すぷーん,supu-n,cuchara
564,瓶,びん,bin,botella
565,つく,つく,tsuku,llegar
566,醤油,しょうゆ,shouyu,salsa de soja
567,茶碗,ちゃわん,chawan,cuenco / bol
568,決める,きめる,kimeru,decidir
569,感じる,かんじる,kanjiru,sentir
570,生きる,いきる,ikiru,vivir
571,動かす,うごかす,ugokasu,mover
572,壊れる,こわれる,kowareru,romperse
573,復習,ふくしゅう,fukushuu,repaso / revisión
574,眉,まゆ,mayu,ceja
575,客,きゃく,kyaku,cliente / huésped
576,机,つくえ,tsukue,escritorio
577,風呂,ふろ,furo,baño
578,湯,ゆ,yu,Agua caliente
579,ぬるい,ぬるい,nurui,Tibio
580,風邪薬,かぜぐすり,kazegusuri,Medicina fría
581,靴下,くつした,kutsushita,medias
582,タバコ,たばこ,tabako,tabaco
583,アイスコーヒー,あいすこーひー,aisuko-hi-,Café con hielo
584,天ぷら,てぷら,tempura,Tempura
585,肉,にく,niku,carne
586,昨夜,さくや,sakuya,anoche
587,流行る,はやる,hayaru,estar de moda
588,連れて来る,つれてくる,tsuretekuru,Lo traeré
589,方,かた,kata,dirección
590,零,れい,rei,cero
591,雲,くも,kumo,nube
592,空,そら,sora,Cielo
593,人気,にんき,ninki,popularidad / fama
594,兄さん,にいさん,niisan,Hermano
595,姉さん,ねえさん,neesan,Hermana mayor
596,平成,へいせい,heisei,Heisei
597,毎月,まいつき,maitsuki,mensual
598,半日,はんにち,hannichi,Medio día
599,半月,はんつき,hantsuki,Medio mes
600,なるほど,なるほど,naruhodo,Veo
601,つまり,つまり,tsumari,En otras palabras
602,そのまま,そのまま,sonomama,Tal cual
603,はっきり,はっきり,hakkiri,Claramente / Nítidamente
604,大変,たいへん,taihen,duro
605,簡単,かんたん,kantan,fácil
606,似ている,にている,niteiru,parecerse
607,驚く,おどろく,odoroku,sorprenderse
608,嫌,いや,iya / kira-i,desagrado / odioso / no gustar
609,喧嘩,けんか,kenka,luchar
610,遅れる,おくれる,okureru,Llegar tarde
611,にんじん,にんじん,ninjin,Zanahorias
612,ジャガイモ,じゃがいも,jagaimo,Papas
613,ナス,なす,nasu,berenjena
614,やかん,やかん,yakan,Pava
615,話し合う,はなしあう,hanashiau,conversar
616,残す,のこす,nokosu,dejar
617,ごちそうする,ごちそうする,gochisousuru,invitar / dar un banquete
618,合う,あう,au,quedar bien / ser adecuado
619,当たる,あたる,ataru,acertar / golpear / tocar
620,集まる,あつまる,atsumaru,reunirse
621,場所,ばしょ,basho,lugar
622,海,うみ,umi,mar
623,少年,しょうねん,shounen,chico
624,孫,まご,mago,Nieto / a
625,生徒,せいと,seito,alumno
626,高校,こうこう,koukou,escuela secundaria
627,年上,としうえ,toshiue,mayor / de más edad
628,卒業,そつぎょう,sotsugyou,graduación
629,運動,うんどう,undou,movimiento
630,選手,せんしゅ,senshu,jugador
631,映画,えいが,eiga,película
632,英語,えいご,eigo,Inglés
633,手紙,てがみ,tegami,carta
634,動物,どうぶつ,doubutsu,animal
635,音,おと,oto,sonido
636,海外,かいがい,kaigai,en el extranjero
637,外国人,がいこくじん,gaikokujin,extranjero
638,帰国,きこく,kikoku,Regreso a Japón
639,彼ら,かれら,karera,ellos
640,機械,きかい,kikai,máquina
641,基本,きほん,kihon,base / fundamento
642,今度,こんど,kondo,La próxima vez
643,最後,さいご,saigo,último
644,最初,さいしょ,saisho,primero
645,準備,じゅんび,junbi,Preparación
646,進む,すすむ,susumu,avanzar
647,直接,ちょくせつ,chokusetsu,Directo
648,特に,とくに,tokuni,especialmente
649,届く,とどく,todoku,alcanzar
650,なぜ,なぜ,naze,por qué
651,並ぶ,ならぶ,narabu,alinearse / hacer cola
652,運ぶ,はこぶ,hakobu,llevar
653,直す,なおす,naosu,arreglar
654,反対,はんたい,hantai,Oposición
655,場合,ばあい,baai,caso
656,詳しい,くわしい,kuwashii,detallado / conocer bien
657,いたずら,いたずら,itazura,Travesura
658,お祝い,おいわい,oiwai,Celebración
659,くし,くし,kushi,Peine
660,こぼれる,こぼれる,koboreru,derramarse
661,伝える,つたえる,tsutaeru,decir
662,膝,ひざ,hiza,rodillas
663,肘,ひじ,hiji,codo
664,枕,まくら,makura,almohada
665,建物,たてもの,tatemono,edificio
666,道路,どうろ,douro,camino
667,四つ角,よつかど,yotsukado,Cuatro esquinas
668,曲がり角,まがりかど,magarikado,Ángulo doblado
669,警察,けいさつ,keisatsu,policía
670,空気,くうき,kuuki,aire
671,スポーツ,すぽーつ,supo-tsu,Deportes
672,チャンス,ちゃんす,chansu,oportunidad
673,クリーニング,くりーにんぐ,kuri-ningu,limpieza
674,サービス,さーびす,sa-bisu,servicio
675,グループ,ぐるーぷ,guru-pu,grupo
676,自宅,じたく,jitaku,su casa
677,家庭,かてい,katei,hogar
678,期間,きかん,kikan,período
679,年度,ねんど,nendo,año
680,経験,けいけん,keiken,experiencia
681,安全,あんぜん,anzen,seguridad
682,危険,きけん,kiken,peligro
683,注意,ちゅうい,chuui,atención / cuidado
684,成功,せいこう,seikou,éxito
685,努力,どりょく,doryoku,esfuerzo
686,説明,せつめい,setsumei,explicación
687,地震,じしん,jishin,terremoto
688,手術,しゅじゅつ,shujutsu,Cirugía
689,火傷,やけど,yakedo,quemadura
690,課題,かだい,kadai,asignación
691,子,こ,ko,niño
692,確認,かくにん,kakunin,confirmación
693,実際,じっさい,jissai,real / en realidad
694,国際,こくさい,kokusai,internacional
695,会議,かいぎ,kaigi,reunión
696,提案,ていあん,teian,sugerencia
697,事務所,じむしょ,jimusho,oficina
698,教授,きょうじゅ,kyouju,Profesor
699,世紀,せいき,seiki,siglo
700,あちこち,あちこち,achikochi,por todas partes
701,そちら,そちら,sochira,allá
702,あちら,あちら,achira,allá
703,もし,もし,moshi,si
704,うるさい,うるさい,urusai,ruidoso
705,固い,かたい,katai,Duro
706,深い,ふかい,fukai,profundo
707,面白い,おもしろい,omoshiroi,interesante
708,全く,まったく,mattaku,absolutamente
709,半分,はんぶん,hanbun,medio
710,普通,ふつう,futsuu,normal / corriente
711,分,ふん / ぷん,bun,minuto
712,文化,ぶんか,bunka,cultura
713,毎日,まいにち,mainichi,cada día
